RESULT: fit=0.000434593654933, mut = 0.03, mut_change = 0.01, cx = 0.01, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000434971726838, mut = 0.01, mut_change = 0.3, cx = 0.05, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.0004372540446, mut = 0.01, mut_change = 0.3, cx = 0.5, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000437445319335, mut = 0.03, mut_change = 0.3, cx = 0.2, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000440334654337, mut = 0.03, mut_change = 0.3, cx = 0.05, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000442673749447, mut = 0.01, mut_change = 0.3, cx = 0.5, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.00044286979628, mut = 0.1, mut_change = 0.03, cx = 0.3, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000446428571429, mut = 0.03, mut_change = 0.01, cx = 0.5, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000447427293065, mut = 0.3, mut_change = 0.3, cx = 0.01, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.0004502476362, mut = 0.05, mut_change = 0.01, cx = 0.05, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.00045766590389, mut = 0.01, mut_change = 0.3, cx = 0.1, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000458505272811, mut = 0.03, mut_change = 0.01, cx = 0.3, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000458505272811, mut = 0.03, mut_change = 0.03, cx = 0.2, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000459347726229, mut = 0.03, mut_change = 0.2, cx = 0.2, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000459770114943, mut = 0.01, mut_change = 0.3, cx = 0.01, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000460617227084, mut = 0.01, mut_change = 0.1, cx = 0.2, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000460617227084, mut = 0.03, mut_change = 0.3, cx = 0.2, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000463177396943, mut = 0.01, mut_change = 0.3, cx = 0.1, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000463821892393, mut = 0.01, mut_change = 0.05, cx = 0.05, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000464468183929, mut = 0.03, mut_change = 0.1, cx = 0.2, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000465766185375, mut = 0.03, mut_change = 0.05, cx = 0.01, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000467071461934, mut = 0.03, mut_change = 0.01, cx = 0.1, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000467289719626, mut = 0.2, mut_change = 0.3, cx = 0.1, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000471031559114, mut = 0.03, mut_change = 0.3, cx = 0.1, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000471253534402, mut = 0.01, mut_change = 0.01, cx = 0.5, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000471475719, mut = 0.01, mut_change = 0.1, cx = 0.1, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000471475719, mut = 0.01, mut_change = 0.2, cx = 0.05, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000471698113208, mut = 0.01, mut_change = 0.1, cx = 0.01, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000472366556448, mut = 0.03, mut_change = 0.03, cx = 0.3, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000472366556448, mut = 0.05, mut_change = 0.2, cx = 0.01, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.00047664442326, mut = 0.01, mut_change = 0.05, cx = 0.1, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000481231953802, mut = 0.03, mut_change = 0.03, cx = 0.2, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000481231953802, mut = 0.1, mut_change = 0.3, cx = 0.2, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000485908649174, mut = 0.03, mut_change = 0.03, cx = 0.05, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000486144871172, mut = 0.1, mut_change = 0.1, cx = 0.01, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000486854917235, mut = 0.01, mut_change = 0.03, cx = 0.2, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000487329434698, mut = 0.01, mut_change = 0.3, cx = 0.1, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000487567040468, mut = 0.05, mut_change = 0.05, cx = 0.05, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000488042947779, mut = 0.01, mut_change = 0.1, cx = 0.5, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000489476260401, mut = 0.03, mut_change = 0.3, cx = 0.05, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000492125984252, mut = 0.05, mut_change = 0.3, cx = 0.05, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000492368291482, mut = 0.05, mut_change = 0.01, cx = 0.01, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000493096646943, mut = 0.3, mut_change = 0.3, cx = 0.5, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000493339911199, mut = 0.1, mut_change = 0.01, cx = 0.2, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000494315373208, mut = 0.03, mut_change = 0.05, cx = 0.01, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000499001996008, mut = 0.03, mut_change = 0.01, cx = 0.1, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000500250125063, mut = 0.2, mut_change = 0.01, cx = 0.1, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000500500500501, mut = 0.05, mut_change = 0.01, cx = 0.01, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000501253132832, mut = 0.03, mut_change = 0.1, cx = 0.01, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000501504513541, mut = 0.03, mut_change = 0.3, cx = 0.1, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000504286434695, mut = 0.01, mut_change = 0.03, cx = 0.2, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000504795557799, mut = 0.01, mut_change = 0.01, cx = 0.3, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000504795557799, mut = 0.01, mut_change = 0.2, cx = 0.01, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000504795557799, mut = 0.3, mut_change = 0.05, cx = 0.1, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000505050505051, mut = 0.03, mut_change = 0.05, cx = 0.2, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000506072874494, mut = 0.3, mut_change = 0.1, cx = 0.01, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000507099391481, mut = 0.05, mut_change = 0.03, cx = 0.3, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000508130081301, mut = 0.03, mut_change = 0.1, cx = 0.05, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000508905852417, mut = 0.03, mut_change = 0.3, cx = 0.01, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000511247443763, mut = 0.05, mut_change = 0.01, cx = 0.05, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000511508951407, mut = 0.03, mut_change = 0.3, cx = 0.01, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000513083632632, mut = 0.05, mut_change = 0.05, cx = 0.01, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000513874614594, mut = 0.01, mut_change = 0.01, cx = 0.2, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000514138817481, mut = 0.05, mut_change = 0.01, cx = 0.2, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000515463917526, mut = 0.05, mut_change = 0.3, cx = 0.1, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000518403317781, mut = 0.01, mut_change = 0.05, cx = 0.2, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.00051867219917, mut = 0.03, mut_change = 0.3, cx = 0.1, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000521648408972, mut = 0.03, mut_change = 0.05, cx = 0.05, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000523286237572, mut = 0.03, mut_change = 0.01, cx = 0.2, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000524934383202, mut = 0.01, mut_change = 0.05, cx = 0.3, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000526870389884, mut = 0.03, mut_change = 0.1, cx = 0.01, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000526870389884, mut = 0.1, mut_change = 0.2, cx = 0.01, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000527426160338, mut = 0.05, mut_change = 0.03, cx = 0.01, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000528262017961, mut = 0.05, mut_change = 0.01, cx = 0.01, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000528820729773, mut = 0.3, mut_change = 0.1, cx = 0.05, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000529380624669, mut = 0.05, mut_change = 0.01, cx = 0.01, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000531067445566, mut = 0.01, mut_change = 0.1, cx = 0.01, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000532197977648, mut = 0.05, mut_change = 0.3, cx = 0.2, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000533049040512, mut = 0.01, mut_change = 0.2, cx = 0.1, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000533902829685, mut = 0.01, mut_change = 0.05, cx = 0.5, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000533902829685, mut = 0.2, mut_change = 0.3, cx = 0.01, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000535045478866, mut = 0.1, mut_change = 0.01, cx = 0.5, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000535331905782, mut = 0.05, mut_change = 0.01, cx = 0.2, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000535618639529, mut = 0.03, mut_change = 0.2, cx = 0.01, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000536193029491, mut = 0.05, mut_change = 0.01, cx = 0.1, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000537056928034, mut = 0.05, mut_change = 0.1, cx = 0.05, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.0005382131324, mut = 0.01, mut_change = 0.3, cx = 0.3, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000539083557951, mut = 0.03, mut_change = 0.03, cx = 0.3, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000539665407447, mut = 0.01, mut_change = 0.3, cx = 0.3, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000541125541126, mut = 0.01, mut_change = 0.1, cx = 0.5, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
